eth_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2016-10-17T00:00:00.0000000Z,11.87,12.03,11.85972,12.03,10652.10172624,350
2016-10-18T00:00:00.0000000Z,12.02591,12.8995,12.0,12.48257,22801.64961253,630
2016-10-19T00:00:00.0000000Z,12.61,12.66407,11.89001,12.03679,19660.45377267,718
2016-10-20T00:00:00.0000000Z,12.05,12.29709,12.01007,12.04775,8770.79539634,268
2016-10-21T00:00:00.0000000Z,12.14835,12.1781,12.05,12.16,4941.25007589,145
2016-10-22T00:00:00.0000000Z,12.16359,12.28995,12.02,12.211,6734.17699763,352
2016-10-23T00:00:00.0000000Z,12.2,12.27665,12.02002,12.02002,6967.91299755,292
2016-10-24T00:00:00.0000000Z,12.02002,12.09,11.93462,11.975,6378.43690316,174
2016-10-25T00:00:00.0000000Z,11.9475,11.9628,11.12,11.35,47833.54967421,1387
2016-10-26T00:00:00.0000000Z,11.4534,11.6715,11.29661,11.51,6376.32099729,232
2016-10-27T00:00:00.0000000Z,11.49002,11.56847,11.16,11.5022,8601.34781196,257
2016-10-28T00:00:00.0000000Z,11.4987,11.65579,10.91054,11.10812,25869.93076882,673
2016-10-29T00:00:00.0000000Z,11.1,11.1893,9.23786,10.42966,70600.1510164,1785
2016-10-30T00:00:00.0000000Z,10.3361,11.4195,10.20921,11.26309,24170.95796291,1003
2016-10-31T00:00:00.0000000Z,11.20768,12.0,10.9,10.90001,32519.92668316,781
2016-11-01T00:00:00.0000000Z,10.90002,11.17359,10.37431,10.7724,43914.42662043,1282
2016-11-02T00:00:00.0000000Z,10.77,11.19603,10.70167,10.84707,36852.05558835,964
2016-11-03T00:00:00.0000000Z,10.83455,11.14997,10.7,10.91529,30342.24789034,1103
2016-11-04T00:00:00.0000000Z,10.8942,11.22778,10.8246,11.13347,15455.46146918,551
2016-11-05T00:00:00.0000000Z,11.19808,11.247,10.99971,11.0775,5909.35576608,314
2016-11-06T00:00:00.0000000Z,11.07785,11.22987,10.94,10.951,9350.76535309,465
2016-11-07T00:00:00.0000000Z,10.951,11.0574,10.81547,10.88468,14867.49256954,485
2016-11-08T00:00:00.0000000Z,10.88468,11.04028,10.8,10.8826,21354.77806237,578
2016-11-09T00:00:00.0000000Z,10.8826,10.8826,10.20222,10.6929,29134.32684258,974
2016-11-10T00:00:00.0000000Z,10.7026,10.72307,10.5,10.50006,6339.84766619,270
2016-11-11T00:00:00.0000000Z,10.5,10.61236,10.26001,10.26489,13714.43394261,336
2016-11-12T00:00:00.0000000Z,10.28111,10.36544,9.56002,9.75,30150.98082341,651
2016-11-13T00:00:00.0000000Z,9.8685,10.3726,9.78771,10.12356,25605.40861158,755
2016-11-14T00:00:00.0000000Z,10.08887,10.16999,9.84,10.03473,12126.50579234,247
2016-11-15T00:00:00.0000000Z,9.9393,10.3726,9.84997,10.15551,16153.87774046,368
2016-11-16T00:00:00.0000000Z,10.2351,10.37029,9.9002,10.04,20724.76604616,592
2016-11-17T00:00:00.0000000Z,10.01126,10.21859,9.9,9.92045,14591.66221672,401
2016-11-18T00:00:00.0000000Z,9.9569,10.0629,9.40036,9.48026,25469.85020012,647
2016-11-19T00:00:00.0000000Z,9.48002,9.77323,9.48,9.7377,11623.58840251,340
2016-11-20T00:00:00.0000000Z,9.66705,9.72577,9.5,9.5,9059.766015,290
2016-11-21T00:00:00.0000000Z,9.50836,9.66999,9.49032,9.64298,10090.2000817,206
2016-11-22T00:00:00.0000000Z,9.61,10.3,9.53188,9.88088,26713.79614703,709
2016-11-23T00:00:00.0000000Z,9.93,9.93496,9.70083,9.80434,6155.73413813,259
2016-11-24T00:00:00.0000000Z,9.73745,9.78729,8.67149,9.20754,54049.75426376,1158
2016-11-25T00:00:00.0000000Z,9.2173,9.78879,9.18999,9.51271,10090.67821967,336
2016-11-27T00:00:00.0000000Z,8.99931,9.2,8.6,8.99205,29627.19410936,535
2016-11-28T00:00:00.0000000Z,8.92498,9.04919,8.45,8.67695,24883.86554866,497
2016-11-29T00:00:00.0000000Z,8.6759,8.6965,7.8,8.14285,66811.32300664,1538
2016-11-30T00:00:00.0000000Z,8.12149,8.69904,8.00005,8.55384,50646.9715171,874
2016-12-01T00:00:00.0000000Z,8.55,8.67992,8.21146,8.40341,15239.10884179,335
2016-12-02T00:00:00.0000000Z,8.39,8.39,7.36083,7.6439,56490.6932725,1214
2016-12-03T00:00:00.0000000Z,7.74899,8.14033,7.50001,7.82738,32600.78480242,605
2016-12-04T00:00:00.0000000Z,7.82735,7.9001,7.35019,7.36101,16179.71426437,541
2016-12-05T00:00:00.0000000Z,7.35001,7.65,6.55152,6.7756,46406.17568388,1281
2016-12-06T00:00:00.0000000Z,6.7691,7.89879,5.92005,7.75812,153782.75161471,3187
2016-12-07T00:00:00.0000000Z,7.76541,8.57449,7.27152,8.3242,40622.46488511,1400
2016-12-08T00:00:00.0000000Z,8.35,8.89934,8.19899,8.19899,49132.19791908,986
2016-12-09T00:00:00.0000000Z,8.19899,8.6499,8.0,8.35578,43988.82885611,767
2016-12-10T00:00:00.0000000Z,8.36022,8.65999,8.01,8.15,25273.31583716,488
2016-12-11T00:00:00.0000000Z,8.11331,8.27149,8.07963,8.22757,7119.6102372,326
2016-12-12T00:00:00.0000000Z,8.2297,8.6,8.13379,8.52,30918.59041872,735
2016-12-13T00:00:00.0000000Z,8.52,8.52019,8.25673,8.3943,13815.26752861,446
2016-12-14T00:00:00.0000000Z,8.4513,8.5,8.196,8.21262,15575.95040588,264
2016-12-15T00:00:00.0000000Z,8.23,8.33,7.72993,7.75679,42856.84938645,1020
2016-12-16T00:00:00.0000000Z,7.84552,7.94999,7.75013,7.81734,11656.93430426,340
2016-12-17T00:00:00.0000000Z,7.84157,7.94899,7.50347,7.88,19998.79660757,521
2016-12-18T00:00:00.0000000Z,7.86,7.96869,7.74302,7.8803,21904.46695113,440
2016-12-19T00:00:00.0000000Z,7.88031,7.89845,7.58,7.61649,16120.36168034,376
