atom_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-09-30T00:00:00.0000000Z,5.3166,5.566,5.2058,5.3602,197252.87121268,1593
2020-10-01T00:00:00.0000000Z,5.3753,5.5713,4.9765,5.1199,89963.44250887,728
2020-10-02T00:00:00.0000000Z,5.109,5.2508,4.6524,4.8803,163022.02586567,947
2020-10-03T00:00:00.0000000Z,4.8758,5.1278,4.8758,5.0243,31982.24140069,353
2020-10-04T00:00:00.0000000Z,4.9992,5.3765,4.8684,5.3135,87036.72970087,746
2020-10-05T00:00:00.0000000Z,5.3144,5.386,5.188,5.3628,80763.23868254,575
2020-10-06T00:00:00.0000000Z,5.3865,5.3986,4.6718,4.7264,253033.12358457,1523
2020-10-07T00:00:00.0000000Z,4.7301,4.9286,4.5657,4.8863,98617.87084721,620
2020-10-08T00:00:00.0000000Z,4.8592,5.1239,4.62,5.0415,115265.97685018,706
2020-10-09T00:00:00.0000000Z,4.9567,5.289,4.9434,5.1502,117412.11932644,656
2020-10-10T00:00:00.0000000Z,5.1718,5.7154,5.1717,5.5094,120998.79104559,717
2020-10-11T00:00:00.0000000Z,5.5479,6.2604,5.4294,6.072,160724.55454721,1039
2020-10-12T00:00:00.0000000Z,6.078,6.2353,5.7962,5.9684,105426.75619351,893
2020-10-13T00:00:00.0000000Z,5.981,6.1857,5.8372,6.0238,108617.37292755,878
2020-10-14T00:00:00.0000000Z,6.0183,6.13,5.65,5.7481,122274.31522398,627
2020-10-15T00:00:00.0000000Z,5.7325,5.9036,5.5225,5.7564,71903.05454488,438
2020-10-16T00:00:00.0000000Z,5.7339,5.8313,4.4,5.4379,187291.87021041,1110
2020-10-17T00:00:00.0000000Z,5.4154,5.5142,5.2982,5.4771,40180.76867453,379
2020-10-18T00:00:00.0000000Z,5.4373,5.7645,5.4354,5.7645,15712.5658024,160
2020-10-19T00:00:00.0000000Z,5.7819,5.7819,5.4603,5.4931,129355.81131232,788
2020-10-20T00:00:00.0000000Z,5.491,5.507,5.0061,5.0374,164842.9739357,767
2020-10-21T00:00:00.0000000Z,5.0178,5.5,5.0172,5.2468,67808.75511087,570
2020-10-22T00:00:00.0000000Z,5.245,5.5704,5.2385,5.45,25359.02750048,343
2020-10-23T00:00:00.0000000Z,5.4,5.4732,5.1836,5.3696,24385.37987225,347
2020-10-24T00:00:00.0000000Z,5.3696,5.5562,5.2661,5.549,33867.67554892,445
2020-10-25T00:00:00.0000000Z,5.57,5.6492,5.2665,5.3001,36437.29364188,334
2020-10-26T00:00:00.0000000Z,5.2983,5.3675,5.0,5.1415,57969.62905782,410
2020-10-27T00:00:00.0000000Z,5.184,5.3165,5.0908,5.1564,106901.31637986,447
2020-10-28T00:00:00.0000000Z,5.0976,5.1418,4.7338,4.7926,133414.46102796,579
2020-10-29T00:00:00.0000000Z,4.796,4.86,4.5243,4.6379,127992.75259915,417
2020-10-30T00:00:00.0000000Z,4.6159,4.6906,4.359,4.6481,69326.50731862,575
2020-10-31T00:00:00.0000000Z,4.6266,4.8001,4.5961,4.6187,46292.5544048,441
2020-11-01T00:00:00.0000000Z,4.5984,4.8556,4.5453,4.7401,63768.59048742,505
2020-11-02T00:00:00.0000000Z,4.764,4.88,4.5657,4.6315,237616.55314983,976
2020-11-03T00:00:00.0000000Z,4.5907,4.5951,4.3148,4.4789,72930.44270709,391
2020-11-04T00:00:00.0000000Z,4.473,4.473,4.2228,4.3765,86580.14193442,374
2020-11-05T00:00:00.0000000Z,4.4028,4.5879,4.295,4.5348,56199.09369278,424
2020-11-06T00:00:00.0000000Z,4.5072,4.955,4.4815,4.8794,99912.63849517,738
2020-11-07T00:00:00.0000000Z,4.9022,5.1576,4.52,4.6123,76510.52093899,1010
2020-11-08T00:00:00.0000000Z,4.6228,4.9091,4.5721,4.8284,21884.47097449,315
2020-11-09T00:00:00.0000000Z,4.7898,5.2019,4.6792,5.1587,151467.44499576,947
2020-11-10T00:00:00.0000000Z,5.1377,5.2829,4.9244,5.0795,98744.44312709,698
2020-11-11T00:00:00.0000000Z,5.1052,5.2927,5.0257,5.0459,178486.50475681,923
2020-11-12T00:00:00.0000000Z,5.0233,5.3094,4.9483,5.061,126336.97139998,899
2020-11-13T00:00:00.0000000Z,5.0227,5.2604,5.0227,5.1936,48424.47988946,338
2020-11-14T00:00:00.0000000Z,5.2364,5.2364,5.0,5.0615,40786.15784254,360
2020-11-15T00:00:00.0000000Z,5.05,5.118,4.8726,4.9748,31785.09355193,275
2020-11-16T00:00:00.0000000Z,4.98,5.1809,4.9472,5.0827,99905.58015296,424
2020-11-17T00:00:00.0000000Z,5.0837,5.3808,5.0837,5.3017,82156.58778619,616
2020-11-18T00:00:00.0000000Z,5.3067,5.3171,4.8902,5.1148,149361.4314436,868
2020-11-19T00:00:00.0000000Z,5.1177,5.2022,4.9978,5.1021,60025.91315429,469
2020-11-20T00:00:00.0000000Z,5.1024,5.45,5.094,5.2774,151135.06284002,1023
2020-11-21T00:00:00.0000000Z,5.2749,5.9513,5.2734,5.9361,102505.11908324,2017
2020-11-22T00:00:00.0000000Z,5.937,5.9769,5.2605,5.4886,69817.70101549,1628
2020-11-23T00:00:00.0000000Z,5.4888,6.0,5.4346,5.8131,169519.0687607,2249
2020-11-24T00:00:00.0000000Z,5.8195,6.4036,5.6778,5.9506,276099.57976376,3800
2020-11-25T00:00:00.0000000Z,5.9734,6.4708,5.7422,5.9218,204432.97779372,3321
2020-11-26T00:00:00.0000000Z,5.8811,6.3199,4.9971,5.3296,435039.66197269,4713
2020-11-27T00:00:00.0000000Z,5.3034,5.4518,5.1061,5.3615,41207.30875358,1527
2020-11-28T00:00:00.0000000Z,5.3618,5.537,5.2385,5.4389,31383.40528764,1164
2020-11-29T00:00:00.0000000Z,5.4366,5.5385,5.3147,5.4257,28653.7819085,1003
2020-11-30T00:00:00.0000000Z,5.4358,5.6655,5.3572,5.5721,60897.6946405,1223
2020-12-01T00:00:00.0000000Z,5.5735,5.7102,5.1373,5.2663,105135.94847714,1092
2020-12-02T00:00:00.0000000Z,5.2311,5.5469,5.2195,5.5124,93523.39680772,1521
2020-12-03T00:00:00.0000000Z,5.517,5.6419,5.3736,5.5114,32348.86489479,1028
2020-12-04T00:00:00.0000000Z,5.5106,5.5322,5.0059,5.0761,94724.27367549,1245
2020-12-05T00:00:00.0000000Z,5.0484,5.3006,4.9895,5.2661,47103.79998647,893
2020-12-06T00:00:00.0000000Z,5.2658,5.2884,5.0831,5.2112,41345.60331675,693
2020-12-07T00:00:00.0000000Z,5.2113,5.2241,5.0788,5.1016,23981.47262488,497
2020-12-08T00:00:00.0000000Z,5.0988,5.1248,4.6409,4.7284,147363.12195893,1231
2020-12-09T00:00:00.0000000Z,4.7311,4.8877,4.5672,4.8094,55979.31260123,1356
2020-12-10T00:00:00.0000000Z,4.801,4.8172,4.662,4.6757,29311.34214192,632
2020-12-11T00:00:00.0000000Z,4.661,4.8429,4.4911,4.7154,104595.59934061,1505
2020-12-12T00:00:00.0000000Z,4.7104,5.1127,4.7083,5.0759,81926.88626397,1198
2020-12-13T00:00:00.0000000Z,5.0689,5.3634,5.0689,5.1883,169203.18094703,2078
2020-12-14T00:00:00.0000000Z,5.1903,5.33,5.04,5.2682,55538.25829027,1829
2020-12-15T00:00:00.0000000Z,5.2281,5.3633,5.0744,5.3004,30362.6484675,1648
2020-12-16T00:00:00.0000000Z,5.2942,5.5,5.1583,5.4846,183944.78290352,2405
2020-12-17T00:00:00.0000000Z,5.5,5.7227,5.2888,5.3567,149557.72016141,1987
2020-12-18T00:00:00.0000000Z,5.3033,5.4002,5.2083,5.3321,20711.64203982,374
2020-12-19T00:00:00.0000000Z,5.3344,5.436,5.2702,5.3,116013.2827653,1085
2020-12-20T00:00:00.0000000Z,5.2765,5.3517,4.9126,5.0206,86759.24222816,1547
2020-12-21T00:00:00.0000000Z,5.0154,5.1454,4.8012,5.0292,120839.71953205,872
2020-12-22T00:00:00.0000000Z,5.0441,5.1029,4.7358,4.9458,62393.27437591,495
2020-12-23T00:00:00.0000000Z,4.9307,4.9912,4.2639,4.3946,152682.57361664,995
2020-12-24T00:00:00.0000000Z,4.3871,4.9938,4.2313,4.9511,109229.97192337,772
