rep_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-09-30T00:00:00.0000000Z,14.38,14.718,14.098,14.35,6043.03691503,322
2020-10-01T00:00:00.0000000Z,14.365,15.073,14.055,14.153,8209.4141756,419
2020-10-02T00:00:00.0000000Z,14.163,14.352,13.068,13.408,9986.5279949,515
2020-10-03T00:00:00.0000000Z,13.448,14.398,13.448,13.937,7071.43795059,389
2020-10-04T00:00:00.0000000Z,13.939,13.993,13.666,13.859,2618.88983812,181
2020-10-05T00:00:00.0000000Z,13.857,15.053,13.857,14.134,7387.00050294,392
2020-10-06T00:00:00.0000000Z,14.262,14.8,13.376,13.414,3920.41141788,279
2020-10-07T00:00:00.0000000Z,13.415,13.426,12.853,13.048,6398.58655031,368
2020-10-08T00:00:00.0000000Z,13.021,13.641,12.83,13.575,24343.55730248,704
2020-10-09T00:00:00.0000000Z,13.531,14.383,13.531,14.324,4399.61054909,184
2020-10-10T00:00:00.0000000Z,14.312,14.768,14.294,14.336,4433.39832999,148
2020-10-11T00:00:00.0000000Z,14.324,14.501,14.04,14.239,10615.94679207,250
2020-10-12T00:00:00.0000000Z,14.296,14.719,14.119,14.515,4261.0859982,126
2020-10-13T00:00:00.0000000Z,14.299,14.338,14.09,14.206,597.10809992,23
2020-10-14T00:00:00.0000000Z,14.168,14.373,13.73,14.037,5185.80465355,193
2020-10-15T00:00:00.0000000Z,14.004,14.007,13.551,13.634,6512.94001578,212
2020-10-16T00:00:00.0000000Z,13.616,13.73,13.234,13.563,5194.93987866,208
2020-10-17T00:00:00.0000000Z,13.623,13.67,13.494,13.494,1343.67112546,26
2020-10-18T00:00:00.0000000Z,13.51,13.68,13.51,13.67,7894.27523062,144
2020-10-19T00:00:00.0000000Z,13.64,13.78,13.5,13.699,10077.19270451,234
2020-10-20T00:00:00.0000000Z,13.669,13.73,13.05,13.106,5853.31138881,222
2020-10-21T00:00:00.0000000Z,13.137,13.81,13.096,13.568,3939.34560349,234
2020-10-22T00:00:00.0000000Z,13.61,13.837,13.5,13.61,5392.58632719,160
2020-10-23T00:00:00.0000000Z,13.68,13.759,13.462,13.64,1326.7338309,66
2020-10-24T00:00:00.0000000Z,13.536,13.621,13.452,13.531,298.07718776,34
2020-10-25T00:00:00.0000000Z,13.59,13.668,13.34,13.35,2732.82881308,88
2020-10-26T00:00:00.0000000Z,13.3,13.446,12.935,13.018,3743.38404076,143
2020-10-27T00:00:00.0000000Z,13.019,13.3,12.83,13.055,1635.52011025,48
2020-10-28T00:00:00.0000000Z,13.062,13.17,12.22,12.348,10126.02476297,215
2020-10-29T00:00:00.0000000Z,12.255,17.0,12.239,13.633,23766.93700842,1346
2020-10-30T00:00:00.0000000Z,13.648,14.697,12.202,13.393,17564.23958638,1080
2020-10-31T00:00:00.0000000Z,13.39,14.2,12.788,13.617,7068.54616922,658
2020-11-01T00:00:00.0000000Z,13.744,14.868,13.298,13.767,9132.93107241,509
2020-11-02T00:00:00.0000000Z,13.841,15.398,13.239,14.598,12173.05256815,769
2020-11-03T00:00:00.0000000Z,14.7,16.874,13.458,14.327,15559.33679187,1234
2020-11-04T00:00:00.0000000Z,14.38,15.571,14.2,14.45,10006.62867204,704
2020-11-05T00:00:00.0000000Z,14.635,14.85,13.9,14.1,5463.08990212,478
2020-11-06T00:00:00.0000000Z,14.214,14.737,14.1,14.498,5686.31901873,415
2020-11-07T00:00:00.0000000Z,14.51,15.28,13.856,13.856,5316.60291096,562
2020-11-08T00:00:00.0000000Z,13.886,15.058,13.157,13.929,22148.50795645,1164
2020-11-09T00:00:00.0000000Z,13.935,16.487,13.583,15.58,12318.04970508,1002
2020-11-10T00:00:00.0000000Z,15.575,16.555,14.964,15.762,14298.75987838,907
2020-11-11T00:00:00.0000000Z,15.621,16.49,15.192,16.319,13728.38424474,721
2020-11-12T00:00:00.0000000Z,16.154,16.322,15.238,15.247,8133.57399697,388
2020-11-13T00:00:00.0000000Z,15.249,16.462,15.132,15.651,7607.39553083,461
2020-11-14T00:00:00.0000000Z,15.649,16.893,15.267,15.977,10039.20503975,616
2020-11-15T00:00:00.0000000Z,16.116,16.46,15.5,15.764,6977.67459749,439
2020-11-16T00:00:00.0000000Z,15.912,17.296,14.78,17.223,18704.54691984,1275
2020-11-17T00:00:00.0000000Z,17.176,17.355,15.959,16.569,8878.71504531,654
2020-11-18T00:00:00.0000000Z,16.674,16.676,15.809,16.298,4660.33981381,352
2020-11-19T00:00:00.0000000Z,16.265,16.464,15.932,16.106,4235.26361202,366
2020-11-20T00:00:00.0000000Z,16.212,16.343,15.839,16.03,4413.42327401,353
2020-11-21T00:00:00.0000000Z,16.075,16.912,15.775,16.766,6427.1629062,578
2020-11-22T00:00:00.0000000Z,16.774,17.182,16.128,16.354,4828.66973892,389
2020-11-23T00:00:00.0000000Z,16.161,17.499,16.161,17.065,5060.8418697,337
2020-11-24T00:00:00.0000000Z,16.957,18.08,16.614,18.073,11006.77644794,853
2020-11-25T00:00:00.0000000Z,17.928,17.928,16.04,16.25,13593.50649591,960
2020-11-26T00:00:00.0000000Z,16.24,16.601,13.817,14.74,29792.29319173,1290
2020-11-27T00:00:00.0000000Z,14.74,15.256,14.311,15.0,5411.4336855,317
2020-11-28T00:00:00.0000000Z,15.0,15.937,14.7,15.65,10288.88787479,490
2020-11-29T00:00:00.0000000Z,15.649,16.4,15.15,15.492,8927.92447117,648
2020-11-30T00:00:00.0000000Z,15.605,16.5,15.516,16.314,4319.22512263,464
