ada_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-09-30T00:00:00.0000000Z,0.1012,0.10165,0.096681,0.10136,7491346.75839739,1307
2020-10-01T00:00:00.0000000Z,0.10147,0.104451,0.094652,0.098138,12710174.3484813,1877
2020-10-02T00:00:00.0000000Z,0.097985,0.100322,0.089734,0.092936,18365814.90400543,2458
2020-10-03T00:00:00.0000000Z,0.092936,0.095739,0.092277,0.093332,8935340.64731409,907
2020-10-04T00:00:00.0000000Z,0.093429,0.098113,0.092292,0.096881,5176500.67596309,916
2020-10-05T00:00:00.0000000Z,0.096883,0.099591,0.096058,0.097573,6903499.45310112,1093
2020-10-06T00:00:00.0000000Z,0.097617,0.098637,0.09136,0.092979,9704912.781978,1538
2020-10-07T00:00:00.0000000Z,0.092482,0.094391,0.089329,0.093708,4476566.378822,965
2020-10-08T00:00:00.0000000Z,0.093253,0.097,0.089782,0.09633,5575590.69687524,1052
2020-10-09T00:00:00.0000000Z,0.096381,0.102593,0.095096,0.101469,9741003.58671034,1633
2020-10-10T00:00:00.0000000Z,0.101678,0.111425,0.101678,0.104967,12528288.58965025,1963
2020-10-11T00:00:00.0000000Z,0.105074,0.109033,0.104238,0.10661,4673377.2710091,853
2020-10-12T00:00:00.0000000Z,0.106465,0.113987,0.1022,0.109512,29100563.23039606,2669
2020-10-13T00:00:00.0000000Z,0.109574,0.114066,0.107712,0.109427,11514840.66743169,1666
2020-10-14T00:00:00.0000000Z,0.109346,0.11237,0.105305,0.10719,7199699.99055187,1071
2020-10-15T00:00:00.0000000Z,0.10719,0.107929,0.10474,0.1067,6958821.17764725,1010
2020-10-16T00:00:00.0000000Z,0.106655,0.107349,0.1024,0.104188,6666441.24477011,1077
2020-10-17T00:00:00.0000000Z,0.104207,0.107273,0.103346,0.105921,2840723.29612265,597
2020-10-18T00:00:00.0000000Z,0.105985,0.107566,0.105209,0.107476,2011900.74968125,449
2020-10-19T00:00:00.0000000Z,0.107559,0.111,0.106186,0.108702,5139310.68182042,1015
2020-10-20T00:00:00.0000000Z,0.108565,0.108753,0.100336,0.102457,10360507.07551176,1393
2020-10-21T00:00:00.0000000Z,0.1019,0.10835,0.1015,0.106149,12802841.83597755,1603
2020-10-22T00:00:00.0000000Z,0.106529,0.112857,0.105429,0.110951,19522355.76389108,2887
2020-10-23T00:00:00.0000000Z,0.11082,0.111964,0.105257,0.108105,8390839.62641219,1610
2020-10-24T00:00:00.0000000Z,0.108162,0.109992,0.107433,0.108059,4859782.29766426,1284
2020-10-25T00:00:00.0000000Z,0.108029,0.108827,0.1062,0.106595,5138812.27414402,794
2020-10-26T00:00:00.0000000Z,0.106439,0.107572,0.099288,0.103145,9461889.42328987,1582
2020-10-27T00:00:00.0000000Z,0.10312,0.105914,0.101947,0.102641,9289270.34930813,1510
2020-10-28T00:00:00.0000000Z,0.102641,0.103368,0.095104,0.099,11643827.60737851,2630
2020-10-29T00:00:00.0000000Z,0.098924,0.100744,0.095,0.095347,7625018.7061001,1176
2020-10-30T00:00:00.0000000Z,0.095009,0.095675,0.089562,0.093396,9733140.34185382,1714
2020-10-31T00:00:00.0000000Z,0.093273,0.095544,0.092501,0.093183,5489310.24491817,821
2020-11-01T00:00:00.0000000Z,0.093162,0.098686,0.092718,0.098273,5776986.90309604,691
2020-11-02T00:00:00.0000000Z,0.098384,0.100087,0.091634,0.09246,8275457.21741749,1211
2020-11-03T00:00:00.0000000Z,0.092337,0.093898,0.0881,0.093665,10811011.96706014,1308
2020-11-04T00:00:00.0000000Z,0.093589,0.096255,0.091867,0.095597,11066366.88087012,1235
2020-11-05T00:00:00.0000000Z,0.095965,0.098166,0.092317,0.097698,13559456.93378459,1514
2020-11-06T00:00:00.0000000Z,0.097683,0.110045,0.097381,0.109411,27654424.24988867,3156
2020-11-07T00:00:00.0000000Z,0.109376,0.113913,0.0989,0.101338,28613378.97927455,3333
2020-11-08T00:00:00.0000000Z,0.101473,0.108436,0.100109,0.106518,12152758.49920942,1504
2020-11-09T00:00:00.0000000Z,0.106646,0.108007,0.10135,0.1054,10731247.04376179,1489
