oxt_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-06-02T00:00:00.0000000Z,0.19975,0.233,0.19852,0.20334,366687.81592763,349
2020-06-03T00:00:00.0000000Z,0.19856,0.20805,0.19711,0.20111,534236.67879863,602
2020-06-04T00:00:00.0000000Z,0.20138,0.20997,0.14,0.20144,558294.37865365,467
2020-06-05T00:00:00.0000000Z,0.20192,0.20999,0.1959,0.19945,499607.78224446,324
2020-06-06T00:00:00.0000000Z,0.19941,0.20081,0.19693,0.19898,61992.35950187,74
2020-06-07T00:00:00.0000000Z,0.19901,0.2003,0.1937,0.19579,65953.99443952,68
2020-06-08T00:00:00.0000000Z,0.1972,0.19907,0.19468,0.19537,120765.04944128,81
2020-06-09T00:00:00.0000000Z,0.19639,0.19999,0.18998,0.19374,311016.01619333,165
2020-06-10T00:00:00.0000000Z,0.19441,0.1973,0.19099,0.19428,248824.84873158,146
2020-06-11T00:00:00.0000000Z,0.19417,0.19639,0.18,0.18072,439709.13653009,248
2020-06-12T00:00:00.0000000Z,0.18,0.18596,0.17913,0.18384,336570.07638634,142
2020-06-13T00:00:00.0000000Z,0.18456,0.19007,0.18333,0.18389,298744.80307117,131
2020-06-14T00:00:00.0000000Z,0.18496,0.18601,0.17898,0.18003,187387.20918466,128
2020-06-15T00:00:00.0000000Z,0.18033,0.1805,0.16791,0.17756,621319.63857695,304
2020-06-16T00:00:00.0000000Z,0.17782,0.2,0.17637,0.18663,704973.65518474,411
2020-06-17T00:00:00.0000000Z,0.187,0.19276,0.17822,0.18187,512866.97441623,340
2020-06-18T00:00:00.0000000Z,0.18257,0.2167,0.17961,0.18145,413920.15173085,281
2020-06-19T00:00:00.0000000Z,0.18098,0.18154,0.178,0.17906,256966.98178274,148
2020-06-20T00:00:00.0000000Z,0.17842,0.18089,0.17472,0.17576,208524.75469317,91
2020-06-21T00:00:00.0000000Z,0.1758,0.18394,0.17497,0.1816,363186.04427236,498
2020-06-22T00:00:00.0000000Z,0.18146,0.18256,0.17796,0.18115,398947.05181414,268
2020-06-23T00:00:00.0000000Z,0.181,0.1823,0.17707,0.17896,155520.50563623,121
2020-06-24T00:00:00.0000000Z,0.17854,0.17877,0.17111,0.17366,195032.06575755,139
2020-06-25T00:00:00.0000000Z,0.17284,0.17416,0.16584,0.1697,549440.10885477,275
2020-06-26T00:00:00.0000000Z,0.16881,0.17435,0.16565,0.1659,197633.47018651,141
2020-06-27T00:00:00.0000000Z,0.16454,0.16593,0.15299,0.15578,310766.63656736,270
2020-06-28T00:00:00.0000000Z,0.15629,0.16354,0.15321,0.16256,185010.6460556,200
2020-06-29T00:00:00.0000000Z,0.16156,0.16637,0.16085,0.1638,87752.16025163,100
2020-06-30T00:00:00.0000000Z,0.16338,0.16338,0.15527,0.15576,65846.89707926,75
2020-07-01T00:00:00.0000000Z,0.15729,0.16215,0.15401,0.15674,141171.48595953,159
2020-07-02T00:00:00.0000000Z,0.15567,0.15826,0.15062,0.15204,76046.58122736,144
2020-07-03T00:00:00.0000000Z,0.15204,0.15498,0.14993,0.15063,171512.11715265,218
2020-07-04T00:00:00.0000000Z,0.15086,0.15779,0.14897,0.15536,131305.32927839,166
2020-07-05T00:00:00.0000000Z,0.15475,0.15566,0.151,0.15237,61303.20726986,158
2020-07-06T00:00:00.0000000Z,0.15168,0.16999,0.15134,0.16127,306061.53804515,359
2020-07-07T00:00:00.0000000Z,0.16097,0.16628,0.15409,0.15751,155631.63937755,387
2020-07-08T00:00:00.0000000Z,0.15734,0.255,0.155,0.17078,1000687.36660096,974
2020-07-09T00:00:00.0000000Z,0.1712,0.18434,0.16756,0.16911,738322.06415996,564
2020-07-10T00:00:00.0000000Z,0.16838,0.17154,0.16415,0.16822,253181.17580666,229
2020-07-11T00:00:00.0000000Z,0.17136,0.1799,0.1633,0.16905,271994.57928286,473
2020-07-12T00:00:00.0000000Z,0.17004,0.17874,0.17004,0.1767,805128.39445299,502
